"CountryName","CountryCode","Date","ConfirmedCases","ConfirmedDeaths","StringencyIndex","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"Netherlands","NLD",2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Netherlands","NLD",2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-02-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-02-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-02,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-03,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-04,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-05,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-06,82,0,1.85,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-07,128,1,1.85,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-08,188,1,1.85,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
"Netherlands","NLD",2020-03-09,265,3,10.19,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0
"Netherlands","NLD",2020-03-10,321,3,18.52,0,0,2,0,0,1,0,0,0,0,0,0,2,1,2,0,0
"Netherlands","NLD",2020-03-11,382,4,18.52,0,0,2,0,0,1,0,0,0,0,0,0,2,1,2,0,0
"Netherlands","NLD",2020-03-12,503,5,41.67,1,1,2,3,0,1,0,0,0,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-13,614,5,41.67,1,1,2,3,0,1,0,0,0,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-14,804,5,41.67,1,1,2,3,0,1,0,0,0,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-15,959,12,54.63,1,3,2,3,0,1,1,0,0,0,0,0,2,1,1,0,0
"Netherlands","NLD",2020-03-16,1135,20,62.04,3,3,2,3,0,1,1,0,0,0,0,0,2,1,1,0,0
